loaded in time vals
Using two part PSO Sample Size:5000 with:14 moments.
Using Times:240
Bounds for Uniform Distribution (0,1)
Blind PSO --> nParts:25 Nsteps:50
Targeted PSO --> nParts:10 Nsteps:1000
sdbeta:0.1
Reading in data!
first row X0:18.66  5.02 12.57  0.65
final row X0: 7.12 15.35 -0.69 25.22



Here?
contour rates below! 
eqwts
    0.73121    0.210256   0.0901003    0.840568           0        0.64 5.44571e+06
    0.73121    0.210256   0.0901003    0.840568           0        0.66 5.15795e+06
    0.73121    0.210256   0.0901003    0.840568           0        0.68 4.89786e+06
    0.73121    0.210256   0.0901003    0.840568           0         0.7 4.66195e+06
    0.73121    0.210256   0.0901003    0.840568           0        0.72 4.44723e+06
    0.73121    0.210256   0.0901003    0.840568           0        0.74 4.25121e+06
    0.73121    0.210256   0.0901003    0.840568           0        0.76 4.07171e+06
    0.73121    0.210256   0.0901003    0.840568           0        0.78 3.90689e+06
    0.73121    0.210256   0.0901003    0.840568           0         0.8 3.75514e+06
    0.73121    0.210256   0.0901003    0.840568           0        0.82 3.61509e+06
    0.73121    0.210256   0.0901003    0.840568           0        0.84 3.48551e+06
    0.73121    0.210256   0.0901003    0.840568           0        0.86 3.36537e+06
    0.73121    0.210256   0.0901003    0.840568           0        0.88 3.25373e+06
    0.73121    0.210256   0.0901003    0.840568           0         0.9 3.14978e+06
    0.73121    0.210256   0.0901003    0.840568           0        0.92 3.05281e+06
    0.73121    0.210256   0.0901003    0.840568           0        0.94 2.96218e+06
    0.73121    0.210256   0.0901003    0.840568           0        0.96 2.87733e+06
    0.73121    0.210256   0.0901003    0.840568           0        0.98 2.79776e+06
    0.73121    0.210256   0.0901003    0.840568        0.02           0 4.91602e+08
    0.73121    0.210256   0.0901003    0.840568        0.02        0.02 4.43022e+07
    0.73121    0.210256   0.0901003    0.840568        0.02        0.04 8.55048e+06
    0.73121    0.210256   0.0901003    0.840568        0.02        0.06 2.58959e+06
    0.73121    0.210256   0.0901003    0.840568        0.02        0.08 1.03491e+06
    0.73121    0.210256   0.0901003    0.840568        0.02         0.1      495942
    0.73121    0.210256   0.0901003    0.840568        0.02        0.12      269605
    0.73121    0.210256   0.0901003    0.840568        0.02        0.14      160688
    0.73121    0.210256   0.0901003    0.840568        0.02        0.16      102696
    0.73121    0.210256   0.0901003    0.840568        0.02        0.18     69320.3
    0.73121    0.210256   0.0901003    0.840568        0.02         0.2     48890.7
    0.73121    0.210256   0.0901003    0.840568        0.02        0.22     35744.9
    0.73121    0.210256   0.0901003    0.840568        0.02        0.24     26929.5
    0.73121    0.210256   0.0901003    0.840568        0.02        0.26     20809.5
    0.73121    0.210256   0.0901003    0.840568        0.02        0.28     16433.5
    0.73121    0.210256   0.0901003    0.840568        0.02         0.3       13224
    0.73121    0.210256   0.0901003    0.840568        0.02        0.32     10817.5
    0.73121    0.210256   0.0901003    0.840568        0.02        0.34      8977.7
    0.73121    0.210256   0.0901003    0.840568        0.02        0.36     7546.87
    0.73121    0.210256   0.0901003    0.840568        0.02        0.38     6416.98
    0.73121    0.210256   0.0901003    0.840568        0.02         0.4     5512.46
    0.73121    0.210256   0.0901003    0.840568        0.02        0.42     4779.38
    0.73121    0.210256   0.0901003    0.840568        0.02        0.44      4178.6
    0.73121    0.210256   0.0901003    0.840568        0.02        0.46     3681.24
    0.73121    0.210256   0.0901003    0.840568        0.02        0.48     3265.66
