NKG2D(),CD45(),pErk(),CD107a()
12.1868,61.4224,0.768897,11.8619
1.54876,21.1706,0.265102,3.53553
31.8948,17.2367,0.214872,10.4836
12.7773,52.5186,0.657376,13.7068
30.7042,65.8512,0.82376,10.6408
7.5599,58.0099,0.726316,13.1639
7.79221,45.4047,0.568422,10.4846
5.14963,39.4501,0.493945,10.8663
24.5188,46.0712,0.576225,8.44372
2.10051,34.5275,0.432406,14.7095
5.16899,73.4344,0.919581,15.077
15.8458,45.7542,0.572535,8.29751
10.851,53.6754,0.671919,11.7816
15.8942,32.0731,0.401204,11.4115
15.5941,128.039,1.60317,34.8341
5.08188,57.6514,0.721905,11.9548
18.7207,91.2052,1.1417,17.0824
6.58224,52.9967,0.663552,9.65752
0.987336,25.1862,0.315423,6.211
8.68275,24.9082,0.311689,6.21734
2.31346,35.2619,0.441585,11.8831
4.23974,23.856,0.298649,4.71565
17.0751,19.497,0.243659,9.36419
8.11164,38.1451,0.477505,10.9657
1.84883,122.052,1.5286,23.5305
6.46608,61.5297,0.770442,16.9237
28.0907,29.9893,0.374706,10.0453
4.7818,50.6297,0.633967,10.3845
22.2828,26.0012,0.324936,7.82103
6.06921,43.3826,0.543164,9.89498
7.28886,48.7286,0.610068,8.33245
6.76616,36.2031,0.45323,11.6575
1.60684,62.5625,0.783529,13.1371
0.755022,39.4953,0.494641,8.05506
13.3387,37.4319,0.468391,9.42099
24.8092,37.5007,0.468878,7.22119
7.5599,52.6328,0.658994,20.7083
3.97838,41.2893,0.517001,6.59528
1.8198,30.6574,0.383913,5.75893
29.1845,52.1307,0.651993,16.7229
15.6328,54.798,0.685824,11.7534
6.05953,39.829,0.498655,9.59281
1.92627,46.3467,0.580414,8.95658
3.1072,24.0781,0.301469,4.15318
2.16827,27.5342,0.344822,15.4527
1.82948,37.5332,0.470028,6.50732
18.1786,32.9822,0.412525,13.4067
6.83391,58.0305,0.726589,10.669
8.49883,36.5815,0.457897,8.90172
5.01412,49.1556,0.615489,8.63483
1.71332,16.8774,0.211336,5.92797
8.70211,85.4784,1.07034,26.5691
7.73413,54.1879,0.678451,15.2295
46.4241,18.5209,0.230472,9.5545
7.74381,19.6308,0.245655,15.4998
2.87489,34.1917,0.428161,11.3353
4.63661,51.0791,0.639591,7.92473
7.56958,20.5245,0.256815,4.29913
55.7264,28.1216,0.350418,10.9216
6.64032,27.5942,0.34539,5.36014
10.7252,80.189,1.00399,14.6619
14.8584,48.2498,0.603848,14.3379
5.06252,34.2158,0.428374,6.23326
17.4913,69.5992,0.871132,11.9484
3.35888,33.3502,0.417611,11.8733
12.7676,45.8996,0.574462,9.46829
0.755022,36.9266,0.462492,14.4259
11.79,83.8178,1.04942,17.6229
14.9552,35.2895,0.441505,8.23379
2.83617,34.4987,0.431996,7.50312
7.15335,28.7315,0.359618,4.77551
8.26652,41.0354,0.51369,8.50441
12.1675,49.4175,0.618544,10.4565
17.259,38.785,0.485212,9.07081
6.23377,51.539,0.645314,11.8219
5.5465,21.4044,0.267915,7.48121
7.95677,43.235,0.541244,8.54702
2.52642,86.5394,1.0838,17.1704
8.71179,34.2078,0.428157,6.9923
6.85327,40.5897,0.508147,6.92891
6.70808,32.1,0.40185,13.7701
9.06026,96.3207,1.20611,24.3329
7.39534,22.5142,0.281743,5.02876
12.7773,62.9731,0.788296,10.7713
21.1212,40.924,0.51188,10.5629
8.49883,83.1005,1.04052,13.9502
7.03719,61.5472,0.770638,13.515
7.5599,75.8794,0.950114,52.9106
21.9053,24.8851,0.310982,10.2486
7.2695,68.4127,0.856621,16.7611
4.46237,23.683,0.296496,9.93816
1.47132,20.3206,0.254462,4.28365
19.7854,14.4256,0.180037,4.38896
21.2084,16.5327,0.2065,38.1225
5.70138,34.8433,0.436212,5.98907
16.3975,85.0206,1.06432,16.2576
9.06994,44.2366,0.553765,11.3997
4.41397,36.4479,0.456356,7.41181
15.023,109.021,1.36496,17.8706
2.72969,28.3049,0.354419,4.79098
2.54578,98.8953,1.23854,16.4503
2.49738,34.4455,0.431348,10.9458
1.78108,29.6544,0.371357,6.72318
0.977656,43.6206,0.546303,9.30549
2.17795,9.85341,0.123339,2.04531
9.12802,32.3967,0.405459,7.10979
9.50553,28.3155,0.354339,11.4746
17.1138,76.0864,0.952412,24.8774
2.00371,37.3245,0.467652,75.4142
3.53311,18.911,0.236765,11.4291
32.2336,21.9649,0.274052,3.8474
8.19876,22.9326,0.286959,5.41165
0.580786,17.7503,0.222299,16.4266
5.0238,35.3706,0.442842,26.8228
20.4727,17.7602,0.221775,5.9253
0.41623,16.8548,0.211089,3.90791
7.63733,32.1541,0.402471,6.90605
9.91208,36.2995,0.454314,6.99414
4.51077,17.6395,0.220789,5.23896
5.62394,34.8324,0.436091,10.6776
2.20699,109.245,1.36831,53.1794
3.17496,29.6628,0.371411,4.9808
3.31048,15.4707,0.193661,4.20515
15.1488,41.1606,0.515045,13.7156
16.5718,41.3412,0.517247,8.94985
6.65,54.266,0.679458,14.0646
8.8473,66.6972,0.835075,14.2804
3.80415,53.0143,0.663863,9.14765
6.95975,40.0193,0.501022,12.57
4.05582,30.6145,0.38344,44.5662
5.75946,40.7531,0.510251,14.3472
2.31346,13.7791,0.172506,4.12495
4.91732,20.546,0.257201,12.5795
9.71848,44.9243,0.56235,8.91484
3.27176,33.6986,0.421968,9.41764
17.3171,36.415,0.455535,10.8724
4.81084,33.1721,0.415318,9.11174
12.9612,50.3323,0.629993,15.4665
13.9485,83.8411,1.04962,14.8308
1.53908,22.0865,0.276579,5.80787
17.3655,48.7033,0.60944,12.5517
18.8755,14.3806,0.179499,2.86439
12.4288,28.8417,0.360834,7.3486
